Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
232,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
1,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,HENRI\henri,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,"Parcialmente Mitigado. La corrección definitiva requiere una refactorización del código fuente. No obstante, dada la necesidad de mantener la operatividad, se ha optado por una mitigación perimetral mediante la implementación de un WAF (Web Application Firewall) como barrera inmediata.",3/23/2026 8:22:01 PM
2,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of Cliente in order to gain additional privilege.,,Generated
112,Elevation by Changing the Execution Flow in AgroDirecto Frontend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Frontend in order to change the flow of program execution within AgroDirecto Frontend to the attacker's choosing.,,Generated
111,AgroDirecto Frontend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be able to remotely execute code for AgroDirecto Frontend.,,Generated
233,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
6,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
7,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Mitigated,HENRI\henri,AgroDirecto Frontend may be able to impersonate the context of Agricultor in order to gain additional privilege.,"Este riesgo se considera neutralizado tras la implementación de una validación estricta de tokens de sesión en el lado del servidor (Server-Side Validation). Actualmente, el sistema no confía en las cabeceras de rol enviadas por el cliente, forzando una verificación contra la base de datos de identidad en cada petición sensible.",3/23/2026 7:59:48 PM
110,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of Proveedor Autorización in order to gain additional privilege.,,Generated
11,Weakness in SSO Authorization,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,HENRI\henri,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.," Se ha acordado y movido al backlog la implementación de DPoP (Demonstrating Proof-of-Possession). El estado se mantiene en investigación mientras se definen los parámetros técnicos para evitar brechas en el intercambio de secretos.",3/23/2026 8:21:17 PM
12,AgroDirecto Frontend Process Memory Tampered,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"If AgroDirecto Frontend is given access to memory, such as shared memory or pointers, or is given the ability to control what Pasarela de Pagos executes (for example, passing back a function pointer.), then AgroDirecto Frontend can tamper with Pasarela de Pagos. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
13,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Pasarela de Pagos may be able to impersonate the context of AgroDirecto Frontend in order to gain additional privilege.,,Generated
14,Pasarela de Pagos Process Memory Tampered,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"If Pasarela de Pagos is given access to memory, such as shared memory or pointers, or is given the ability to control what AgroDirecto Frontend executes (for example, passing back a function pointer.), then Pasarela de Pagos can tamper with AgroDirecto Frontend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
15,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
16,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of Pasarela de Pagos in order to gain additional privilege.,,Generated
17,Spoofing of Source Data Store Redis Database,Spoofing,AgroDirecto DFD,HTTPS,High,Mitigated,HENRI\henri,Redis Database may be spoofed by an attacker and this may lead to incorrect data delivered to Pasarela de Pagos. Consider using a standard authentication mechanism to identify the source data store.,Este riesgo se considera neutralizado tras la implementación de una validación estricta de tokens de sesión y la creación de zonas de confianza que aseguran que no se puede acceder a los recursos sin el rol y los permisos adecuados.,3/23/2026 8:17:17 PM
18,Weak Access Control for a Resource,Information Disclosure,AgroDirecto DFD,HTTPS,High,Mitigated,HENRI\henri,Improper data protection of Redis Database can allow an attacker to read information not intended for disclosure. Review authorization settings.," Se ha implementado zonas de confianza en subredes con una arquitectura zero trust que mitiga esta vulnerabilidad.",3/23/2026 8:19:38 PM
19,Spoofing of Destination Data Store Redis Database,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Redis Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Redis Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
20,Potential Excessive Resource Consumption for Pasarela de Pagos or Redis Database,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"Does Pasarela de Pagos or Redis Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
21,AgroDirecto Backend Process Memory Tampered,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"If AgroDirecto Backend is given access to memory, such as shared memory or pointers, or is given the ability to control what AgroDirecto CRM executes (for example, passing back a function pointer.), then AgroDirecto Backend can tamper with AgroDirecto CRM. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
22,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto CRM' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
23,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto CRM may be able to impersonate the context of AgroDirecto Backend in order to gain additional privilege.,,Generated
24,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
25,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Backend may be able to impersonate the context of AgroDirecto CRM in order to gain additional privilege.,,Generated
26,Spoofing of Source Data Store Redis Database,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Redis Database may be spoofed by an attacker and this may lead to incorrect data delivered to AgroDirecto Backend. Consider using a standard authentication mechanism to identify the source data store.,,Generated
27,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
28,Persistent Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'Redis Database' inputs and output.,,Generated
29,Weak Access Control for a Resource,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,Improper data protection of Redis Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
30,Spoofing of Destination Data Store Redis Database,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Redis Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Redis Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
31,Potential Excessive Resource Consumption for AgroDirecto Backend or Redis Database,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"Does AgroDirecto Backend or Redis Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
32,Spoofing of Destination Data Store SQL Database,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of SQL Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
33,Potential SQL Injection Vulnerability for SQL Database,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,,Generated
34,Potential Excessive Resource Consumption for AgroDirecto Backend or SQL Database,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"Does AgroDirecto Backend or SQL Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
35,Spoofing of Source Data Store SQL Database,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,SQL Database may be spoofed by an attacker and this may lead to incorrect data delivered to AgroDirecto Backend. Consider using a standard authentication mechanism to identify the source data store.,,Generated
36,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
37,Persistent Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'SQL Database' inputs and output.,,Generated
38,Weak Access Control for a Resource,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,Improper data protection of SQL Database can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
39,Spoofing of Destination Data Store File System,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,File System may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of File System. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
40,Potential Excessive Resource Consumption for AgroDirecto Backend or File System,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"Does AgroDirecto Backend or File System take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
41,Spoofing of Source Data Store File System,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,File System may be spoofed by an attacker and this may lead to incorrect data delivered to AgroDirecto Backend. Consider using a standard authentication mechanism to identify the source data store.,,Generated
42,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
43,Persistent Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'File System' inputs and output.,,Generated
44,Weak Access Control for a Resource,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,Improper data protection of File System can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
45,Spoofing the API Uber Eats External Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,API Uber Eats may be spoofed by an attacker and this may lead to unauthorized access to AgroDirecto Backend. Consider using a standard authentication mechanism to identify the external entity.,,Generated
46,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
47,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Backend may be able to impersonate the context of API Uber Eats in order to gain additional privilege.,,Generated
48,AgroDirecto Backend Process Memory Tampered,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"If AgroDirecto Backend is given access to memory, such as shared memory or pointers, or is given the ability to control what AgroDirecto Frontend executes (for example, passing back a function pointer.), then AgroDirecto Backend can tamper with AgroDirecto Frontend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
49,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
50,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to impersonate the context of AgroDirecto Backend in order to gain additional privilege.,,Generated
51,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
52,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Backend may be able to impersonate the context of AgroDirecto Frontend in order to gain additional privilege.,,Generated
245,Collision Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
54,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto CRM' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
55,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto CRM may be able to impersonate the context of Soporte in order to gain additional privilege.,,Generated
206,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Backend may be able to impersonate the context of Proveedor Autorización in order to gain additional privilege.,,Generated
117,Weakness in SSO Authorization,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,,Generated
116,Elevation Using Impersonation,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto CRM may be able to impersonate the context of Proveedor Autorización in order to gain additional privilege.,,Generated
115,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto CRM' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
114,Spoofing the Proveedor Autorización External Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be spoofed by an attacker and this may lead to unauthorized access to AgroDirecto CRM. Consider using a standard authentication mechanism to identify the external entity.,,Generated
113,Weakness in SSO Authorization,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Common SSO implementations such as OAUTH2 and OAUTH Wrap are vulnerable to MitM attacks.,,Generated
104,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
103,External Entity Proveedor Autorización Potentially Denies Receiving Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Proveedor Autorización claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
102,Spoofing of the Proveedor Autorización External Destination Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Proveedor Autorización. Consider using a standard authentication mechanism to identify the external entity.,,Generated
109,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
108,Potential Process Crash or Stop for AgroDirecto Frontend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Frontend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
107,Potential Data Repudiation by AgroDirecto Frontend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Frontend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
106,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Frontend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
105,Spoofing the Proveedor Autorización External Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be spoofed by an attacker and this may lead to unauthorized access to AgroDirecto Frontend. Consider using a standard authentication mechanism to identify the external entity.,,Generated
235,Collision Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
72,Potential Data Repudiation by Pasarela de Pagos,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Pasarela de Pagos claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
73,Potential Process Crash or Stop for Pasarela de Pagos,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,HENRI\henri,"Pasarela de Pagos crashes, halts, stops or runs slowly; in all cases violating an availability metric.","El despliegue de una infraestructura de escalado dinámico no se ha completado por falta de presupuesto. Actualmente, la defensa se limita a límites de tasa (rate-limiting). La estrategia futura consiste en mejorar los servidores una vez se liberen fondos.",3/23/2026 8:20:11 PM
74,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
75,Pasarela de Pagos May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to remotely execute code for Pasarela de Pagos.,,Generated
76,Elevation by Changing the Execution Flow in Pasarela de Pagos,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into Pasarela de Pagos in order to change the flow of program execution within Pasarela de Pagos to the attacker's choosing.,,Generated
228,Elevation by Changing the Execution Flow in AgroDirecto Backend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Backend in order to change the flow of program execution within AgroDirecto Backend to the attacker's choosing.,,Generated
243,Spoofing the Pasarela de Pagos Process,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Pasarela de Pagos may be spoofed by an attacker and this may lead to unauthorized access to AgroDirecto Frontend. Consider using a standard authentication mechanism to identify the source process.,,Generated
79,Potential Data Repudiation by AgroDirecto Frontend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Frontend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
80,Potential Process Crash or Stop for AgroDirecto Frontend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Frontend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
81,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
82,AgroDirecto Frontend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Pasarela de Pagos may be able to remotely execute code for AgroDirecto Frontend.,,Generated
83,Elevation by Changing the Execution Flow in AgroDirecto Frontend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Frontend in order to change the flow of program execution within AgroDirecto Frontend to the attacker's choosing.,,Generated
234,Replay Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
85,Potential Data Repudiation by AgroDirecto Backend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
86,Potential Process Crash or Stop for AgroDirecto Backend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
