Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
87,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
88,AgroDirecto Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Frontend may be able to remotely execute code for AgroDirecto Backend.,,Generated
89,Elevation by Changing the Execution Flow in AgroDirecto Backend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Backend in order to change the flow of program execution within AgroDirecto Backend to the attacker's choosing.,,Generated
227,AgroDirecto Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Redis Database may be able to remotely execute code for AgroDirecto Backend.,,Generated
280,Replay Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
92,Potential Data Repudiation by AgroDirecto Frontend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Frontend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
93,Potential Process Crash or Stop for AgroDirecto Frontend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Frontend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
94,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
95,AgroDirecto Frontend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Backend may be able to remotely execute code for AgroDirecto Frontend.,,Generated
96,Elevation by Changing the Execution Flow in AgroDirecto Frontend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Frontend in order to change the flow of program execution within AgroDirecto Frontend to the attacker's choosing.,,Generated
205,Cross Site Scripting,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,The web server 'AgroDirecto Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
204,Spoofing the Proveedor Autorización External Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be spoofed by an attacker and this may lead to unauthorized access to AgroDirecto Backend. Consider using a standard authentication mechanism to identify the external entity.,,Generated
271,Potential Weak Protections for Audit Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Consider what happens when the audit mechanism comes under attack, including attempts to destroy the logs, or attack log analysis programs. Ensure access to the log is through a reference monitor, which controls read and write separately. Document what filters, if any, readers can rely on, or writers should expect",,Generated
270,Insufficient Auditing,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,Does the log capture enough data to understand what happened in the past? Do your logs capture enough data to understand an incident after the fact? Is such capture lightweight enough to be left on all the time? Do you have enough data to deal with repudiation claims? Make sure you log sufficient and appropriate data to handle a repudiation claims. You might want to talk to an audit expert as well as a privacy expert about your choice of data.,,Generated
269,Data Logs from an Unknown Source,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.,,Generated
259,Risks from Logging,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",,Generated
258,Potential Weak Protections for Audit Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Consider what happens when the audit mechanism comes under attack, including attempts to destroy the logs, or attack log analysis programs. Ensure access to the log is through a reference monitor, which controls read and write separately. Document what filters, if any, readers can rely on, or writers should expect",,Generated
257,Insufficient Auditing,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,Does the log capture enough data to understand what happened in the past? Do your logs capture enough data to understand an incident after the fact? Is such capture lightweight enough to be left on all the time? Do you have enough data to deal with repudiation claims? Make sure you log sufficient and appropriate data to handle a repudiation claims. You might want to talk to an audit expert as well as a privacy expert about your choice of data.,,Generated
256,Data Logs from an Unknown Source,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.,,Generated
255,Lower Trusted Subject Updates Logs,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.",,Generated
254,Risks from Logging,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",,Generated
253,Risks from Logging,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",,Generated
252,Potential Weak Protections for Audit Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Consider what happens when the audit mechanism comes under attack, including attempts to destroy the logs, or attack log analysis programs. Ensure access to the log is through a reference monitor, which controls read and write separately. Document what filters, if any, readers can rely on, or writers should expect",,Generated
251,Insufficient Auditing,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,Does the log capture enough data to understand what happened in the past? Do your logs capture enough data to understand an incident after the fact? Is such capture lightweight enough to be left on all the time? Do you have enough data to deal with repudiation claims? Make sure you log sufficient and appropriate data to handle a repudiation claims. You might want to talk to an audit expert as well as a privacy expert about your choice of data.,,Generated
250,Data Logs from an Unknown Source,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,Do you accept logs from unknown or weakly authenticated users or systems? Identify and authenticate the source of the logs before accepting them.,,Generated
249,Lower Trusted Subject Updates Logs,Repudiation,AgroDirecto DFD,HTTPS,High,Not Applicable,HENRI\henri,"If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.",Se ha implementado una subred con arquitectura zero trust para evitar estos escenarios; en esta subred solo tienen acceso el servicio de pasarela de pagos y la base de datos de redis.,3/23/2026 8:19:06 PM
248,Risks from Logging,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",,Generated
247,Weak Credential Storage,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Credentials held at the server are often disclosed or tampered with and credentials stored on the client are often stolen. For server side, consider storing a salted hash of the credentials instead of storing the credentials themselves. If this is not possible due to business requirements, be sure to encrypt the credentials before storage, using an SDL-approved mechanism. For client side, if storing credentials is required, encrypt them and protect the data store in which they're stored",,Generated
246,Weak Credential Storage,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Credentials held at the server are often disclosed or tampered with and credentials stored on the client are often stolen. For server side, consider storing a salted hash of the credentials instead of storing the credentials themselves. If this is not possible due to business requirements, be sure to encrypt the credentials before storage, using an SDL-approved mechanism. For client side, if storing credentials is required, encrypt them and protect the data store in which they're stored",,Generated
244,Replay Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
240,Collision Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
238,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
237,Collision Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
236,Replay Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
226,Data Store Inaccessible,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
225,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
224,Potential Process Crash or Stop for AgroDirecto Backend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
223,Potential Data Repudiation by AgroDirecto Backend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
222,Data Store Inaccessible,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
221,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
220,Data Store Denies Redis Database Potentially Writing Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Redis Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
219,The Redis Database Data Store Could Be Corrupted,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Data flowing across HTTPS may be tampered with by an attacker. This may lead to corruption of Redis Database. Ensure the integrity of the data flow to the data store.,,Generated
203,Elevation by Changing the Execution Flow in AgroDirecto CRM,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto CRM in order to change the flow of program execution within AgroDirecto CRM to the attacker's choosing.,,Generated
202,AgroDirecto CRM May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be able to remotely execute code for AgroDirecto CRM.,,Generated
201,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
200,Potential Process Crash or Stop for AgroDirecto CRM,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto CRM crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
199,Potential Data Repudiation by AgroDirecto CRM,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto CRM claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
198,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
197,External Entity Proveedor Autorización Potentially Denies Receiving Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"Proveedor Autorización claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
196,Spoofing of the Proveedor Autorización External Destination Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,Proveedor Autorización may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of Proveedor Autorización. Consider using a standard authentication mechanism to identify the external entity.,,Generated
195,Elevation by Changing the Execution Flow in AgroDirecto CRM,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto CRM in order to change the flow of program execution within AgroDirecto CRM to the attacker's choosing.,,Generated
194,AgroDirecto CRM May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto Backend may be able to remotely execute code for AgroDirecto CRM.,,Generated
193,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
192,Potential Process Crash or Stop for AgroDirecto CRM,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto CRM crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
191,Potential Data Repudiation by AgroDirecto CRM,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto CRM claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
167,Spoofing of the API Uber Eats External Destination Entity,Spoofing,AgroDirecto DFD,HTTPS,High,Not Started,,API Uber Eats may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of API Uber Eats. Consider using a standard authentication mechanism to identify the external entity.,,Generated
168,External Entity API Uber Eats Potentially Denies Receiving Data,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"API Uber Eats claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
169,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
170,Potential Data Repudiation by AgroDirecto Backend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
171,Potential Process Crash or Stop for AgroDirecto Backend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
172,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
173,AgroDirecto Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,API Uber Eats may be able to remotely execute code for AgroDirecto Backend.,,Generated
174,Elevation by Changing the Execution Flow in AgroDirecto Backend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Backend in order to change the flow of program execution within AgroDirecto Backend to the attacker's choosing.,,Generated
279,Collision Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
278,Replay Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
188,Elevation by Changing the Execution Flow in AgroDirecto Backend,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,An attacker may pass data into AgroDirecto Backend in order to change the flow of program execution within AgroDirecto Backend to the attacker's choosing.,,Generated
187,AgroDirecto Backend May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,AgroDirecto DFD,HTTPS,High,Not Started,,AgroDirecto CRM may be able to remotely execute code for AgroDirecto Backend.,,Generated
186,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
185,Potential Process Crash or Stop for AgroDirecto Backend,Denial Of Service,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
184,Potential Data Repudiation by AgroDirecto Backend,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"AgroDirecto Backend claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
239,Replay Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
268,Lower Trusted Subject Updates Logs,Repudiation,AgroDirecto DFD,HTTPS,High,Not Started,,"If you have trust levels, is anyone other outside of the highest trust level allowed to log? Letting everyone write to your logs can lead to repudiation problems. Only allow trusted code to log.",,Generated
267,Risks from Logging,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",,Generated
266,Weak Credential Storage,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Credentials held at the server are often disclosed or tampered with and credentials stored on the client are often stolen. For server side, consider storing a salted hash of the credentials instead of storing the credentials themselves. If this is not possible due to business requirements, be sure to encrypt the credentials before storage, using an SDL-approved mechanism. For client side, if storing credentials is required, encrypt them and protect the data store in which they're stored",,Generated
272,Risks from Logging,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Log readers can come under attack via log files. Consider ways to canonicalize data in all logs. Implement a single reader for the logs, if possible, in order to reduce attack surface area. Be sure to understand and document log file elements which come from untrusted sources.",,Generated
273,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
274,Authorization Bypass,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Can you access Redis Database and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.",,Generated
275,Authorization Bypass,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Can you access SQL Database and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.",,Generated
276,Authorization Bypass,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Can you access File System and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.",,Generated
277,Weak Authentication Scheme,Information Disclosure,AgroDirecto DFD,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
281,Collision Attacks,Tampering,AgroDirecto DFD,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
